x,y
9712,5762.2
2905.6,14442
10897,11124
9972.7,1206.8
12351,3637.5
1747.8,26.515
7472.8,12078
10400,1279.7
3970.7,4587
10668,4741.6
7141.9,12634
11931,8193.3
4024.9,4637.8
2643.3,13949
13642,8586.9
12071,11723
3845.1,2430.1
8459.9,2138.6
4351.5,4562.9
8993.2,9444.4
5430.7,8862
5303.8,2588.7
10214,13277
1399.1,11828
2435.4,6967.1
6298.4,12448
7864.2,6493.6
3669.4,4871.2
14202,12924
3413.6,4444.9
1767.5,46.902
13467,1740.9
8832.5,5557.7
14317,3770.1
10954,9664.9
10982,5234.4
8340.7,2401.2
8639.5,5701.6
12787,14133
8175.2,11127
9560.9,12724
4396.4,12117
3469,8260
12918,13978
14241,12767
14309,1586.5
33.159,9463.9
7768.7,9363.2
12786,14493
8043.7,11764
8945.6,10950
8814,9733.8
10321,7242.7
7403.3,10034
13586,13428
7384.4,14728
9585.2,4161
6451.2,12711
3563.4,11933
12734,12298
7886.6,3198.2
10764,5518.2
13864,2613.9
8104.9,1949.7
1302.7,7081
4886.1,6487
7004.7,13182
12922,13947
5633.6,10564
1670.2,3043.2
9551.8,10169
9178.5,13433
7066.8,4052.7
4338.5,12087
13561,3428
9222.4,11900
8285,13946
4862.9,9993.6
12726,1158.1
3478.2,675.55
2109.5,2580.6
4850.5,6769.4
1498.2,5900.2
7476.3,6281.2
414.84,12154
12725,2096.9
2114.1,10375
11188,9468.2
12868,14068
10820,2430.6
8796.6,473.87
14298,6766.4
13567,1375.3
14805,1865.6
487.48,9150.7
7991,11561
5585,318.93
11352,6247.9
11214,7369.7
7690.4,11545
1106.3,6268.2
8917,1498.3
2870.8,3941
13482,4482.6
9682.2,8843
12940,14947
6109.8,6773.2
4006.2,5936.3
8907.6,7205.7
2938.1,14867
12999,3157.6
6045,5110.1
5918.1,5663.5
8919.4,9146.9
1005.3,5678.8
6032.5,2478.6
13017,4634.1
654.54,6912
2481.8,2049.2
3184.4,536.34
3991,7587.4
4083.4,763.45
7784.2,10581
8995.8,5431.6
13601,5994.8
10163,3704.8
7761.8,10615
12560,13610
2295.2,12944
5653.9,9226
13946,2612
2838.8,562.41
11117,1117.7
8530.3,91.126
13394,11057
7028.3,12785
4456.8,9479.9
9071.3,2473.1
218.64,11107
4571.4,12170
10867,9213.1
10480,14986
5906.7,4443.5
9544,7212.4
406.38,4698.9
5927.3,4944.6
14962,7003.6
12285,8006.4
9215.1,6036.2
10604,10479
485.92,10557
907.05,4981.3
11329,604.55
9531,2214.6
10927,2759.6
8345.1,6558.2
14947,129.56
12263,3398.9
403.23,2052.2
10235,7428.7
10203,3921.6
10067,2493.2
12859,2651.1
4171.8,13223
2423.9,8524.7
139.12,13052
5625.1,1416.5
11514,14455
10175,6617.3
1664.4,3565.3
3383.7,13598
203.53,7460.1
919,13861
8473.7,11100
3786.8,1425.9
11044,10344
681.29,13584
4559.8,3860.7
5025.2,8711.3
1416.7,1508.4
9152.2,13398
6369.5,6583.1
7140.6,7224.7
3592.6,2171.8
6905.6,5098.4
13758,4324.2
11410,1966.1
4731,2652.5
5328.4,793.68
6689.5,7571.5
653.64,5669.8
4086.4,2113.3
9454.6,10776
8255.5,6933.8
14969,9174.1
6809.1,3706.2
3185.3,11319
31.403,11035
9332.7,992.3
9246.3,8397.4
11529,2386.1
1017.3,14013
14508,13777
3263.2,4357.9
2650.7,9521.3
9240.2,13074
5088,7529
13851,13900
5835.4,3014.9
9396.3,6843.2
8874.7,13806
5214.4,10867
3591.1,2157.1
6585.2,3228.9
7459.3,12107
9345.5,5623.7
4376,3924.2
4802.3,11058
11788,11564
11668,13122
8854.1,3156.4
1544.9,12010
6990.5,10234
467.37,2916.2
14449,917.16
10790,10682
13281,1164.5
5322.3,2622.4
14598,7779.3
3062.5,13388
4333.7,1344.3
9145.5,9367.8
3283.5,2769.5
1102.1,6379.6
3834.8,12173
9550.6,2960.9
9834.5,13397
6921.1,678.67
2661.8,10681
4987.8,10118
13278,9617.6
8548.6,4029.4
1757.9,12532
8756.9,7761.9
11700,1685
3216.6,5606.8
3493.8,10988
8961.8,524.55
736.66,14304
12684,11736
10605,2151.7
3058.4,7740.9
4285.8,10530
4218.7,1692
5543.3,11570
10015,5577.7
2510.7,2038.8
2229.7,14208
12249,6524.6
6141.3,5765.8
13885,1876.8
11725,5711.7
3505.6,2390
12190,1849.4
14135,7110.6
14647,5646.5
94.255,11365
7407.6,3382.9
950.26,14489
11256,12473
1601.3,5940.2
5074.3,10808
4034.8,1444.1
12126,11063
12503,14536
3779.5,10841
381.75,428.3
11377,2581.7
8576.2,9055.8
4534.1,1136
1362.8,5719.8
11318,6517.2
12512,11447
4556.9,14650
1838.9,5625.8
2563.9,847.18
1440.4,5023.7
10215,8422.1
2127.8,4334.8
395.3,1444.3
1422.2,11591
6288.8,6461
2593.9,13775
1491.5,11813
9636.1,9225.3
6894.6,5117.3
9338.1,10503
5559.2,8495.6
12428,14423
176.31,11450
11268,9363.7
12982,13237
4647.5,6888.1
2087,2526.8
2693.7,6215.3
1788.2,14281
6061.7,8043.3
1226.7,6387.5
1331.1,9956.8
7072.6,7131.5
737.75,10746
5667.2,3442.2
291.72,12791
14294,7949.4
5878.4,5721.4
7106.9,10445
1271.9,14119
3846.7,6154.1
8013,8142
896.51,4936.8
10903,159.97
5783.4,11285
2936.8,11499
14244,6089.6
13946,8902.2
5807.9,14327
3866.7,6214.4
7745.1,5951.5
9129.2,9175.2
6638,3179.2
11476,2418.5
4734.4,3380.7
552.93,4714.4
14003,12991
9940.9,6071.9
8736.9,10260
4309.5,3403.2
4643.9,7360.1
8284.2,7588
4285.5,3419.5
12920,14323
7783.3,3677.9
1658.3,5504.5
