x,y
3955.1,11399
1033.1,12376
596.31,807.58
14261,9926.6
10237,2527.2
339.33,1623.9
12829,3110.6
7429.1,1822
744.55,11208
4198.7,909.41
7232.9,5303.3
6947.8,14104
10431,3247.5
323.3,9258.6
11221,6088.2
10677,8207.3
282.25,6063.9
7625.5,3781.6
5703.1,8554.6
3229.8,4520.2
1476.8,1492.2
14133,7328.1
1494.2,10988
2738,5462.9
1259.3,5244.5
7952.6,13671
7213.5,7049.3
11243,800.84
6611.2,2681.6
11556,13881
3863.7,7880.1
13754,244.21
1335,12869
5889.7,12679
14762,7481.8
4134,1057.4
11393,14445
1449.8,10007
9234,3642.1
9767.4,142.17
14483,10474
7143.4,3495
2617,7144.8
3904.7,7692.3
4053.8,3142.6
14574,7372
1057.6,3457.8
1126,14334
5496.8,8625.5
8201.1,1551
5494.3,4327.7
5185.6,3521.9
14835,11765
6430,7357.2
9689.6,12773
6534.1,6673.6
8418.9,9669.2
8528.8,12785
12058,3932.1
9704.3,5374.9
8248.9,1124.1
10202,6116.1
2299.7,14830
7143.7,2664.2
7404.7,7596.7
8167.7,8325
13766,6348.3
4988.1,3629.4
841.9,1757
10471,9974.5
4290.8,5786
5327.8,1327.8
14076,4588.2
768.36,817.53
5221.8,4590
14548,8584.4
14379,14649
3830,3250.7
8595.5,4546.2
6826.3,3346.5
14595,14136
4536.2,2554.4
12857,12344
12977,11575
237.91,181.49
6874.8,7613.8
14560,9456.8
11587,4046.9
14150,14733
9087.7,9486
13640,13392
12153,14906
6371.5,8218.4
10643,9276.3
11323,4006.4
9595.1,1942
10790,11563
5069.9,7866.5
9780.6,1025
2919.7,10687
13118,3353.8
2966.1,8641
14005,6959.1
13589,12557
11994,8678.3
465.28,6771.2
11976,1727.4
12824,4900.5
1300.7,6295.9
6237,12058
6517.9,698.53
5526.2,7306.2
12558,7635.8
8658.8,5898.7
2424,6723.1
13130,8421.4
9313.2,2795.9
6088.7,14072
7495.7,1244.7
625.97,2943.3
2552.7,6071.9
7858.8,14256
14283,7807.8
2427.7,9898.3
7614.9,3752.1
3681.7,2039.4
984.76,11243
1870.2,3915.1
5678.7,8559.9
7804.4,13580
563.25,4801.3
1765.8,2389
11551,13022
14358,9037.8
3800.4,8884.6
3702.3,3090.6
13738,13662
14170,12245
4585.1,1756.4
9237.8,4053.3
12800,3751.7
12435,9011.6
1849,1555.3
6455.1,7289.7
4295.2,9614.7
11358,1434.9
552.72,13314
8378.6,8852.3
11976,3303.5
2039.8,59.275
11424,1866.7
10074,10523
7918.8,11314
2642,11720
7797.6,3869
11016,3846.1
12000,8351.5
1860.6,14348
14750,14288
1658.2,2173.4
5256.5,8956.2
3002.6,13730
13281,8703.3
2388.9,6547.6
2056.3,2130.9
4793.8,14524
12522,11658
5444.6,5208.7
3320.3,2348.8
8149.4,342.04
10545,3513
8216.5,13762
14514,9313.7
1109.5,8244.2
6546.9,14190
13560,10595
4843,6425.5
3357.5,4827.3
14135,10799
14175,13656
6995.6,11798
8340.9,876.91
6316.3,1481.1
12279,5830.5
4806.8,12140
13710,10579
4933.4,9075.1
3871.4,14815
11561,2396.8
7462.2,11147
7313.6,8215.4
10511,3507.7
13459,13359
4571.9,3625.3
9723.6,14448
13018,2315.9
12684,6470.6
1700.7,14783
7552.9,13149
14097,9014.7
12641,11589
4824.1,13589
6012.5,1176.6
8758.9,11249
4608.9,12588
4308,9447.8
10145,9096.3
11230,5910.9
7028.5,12053
997.93,12222
9955,5812.8
4262.9,3353.3
14372,14889
6524.3,13488
2309.2,14873
3153.9,4623.3
6436.6,7338.8
4509.6,4669.5
6382.9,6843.3
7816,9728.1
8756.9,9193.5
9355.4,4431.4
7901.3,5925.3
13756,11.659
5049.6,7818.1
3653.2,13648
13929,1205.7
4178.6,9997.7
6527.3,12127
11220,6617.2
5666.5,6916.3
7510.8,4064.3
8500.9,7415.3
6139.6,528.01
4423,6484.7
7519.8,13094
8541.7,1958.4
4615.2,3593.3
7826.2,8891.3
11669,691.6
13150,13603
8417.9,8759.5
13707,9634.8
1333.6,6398.8
13263,14784
6620.8,1776.2
6576.7,7540.5
12639,11580
3844.7,3190.4
10517,8072.5
7464.2,8907.1
821.91,10331
514.46,1660.1
10897,14505
13048,739.66
13400,6455.2
3473.6,7069.7
4214.1,69.835
3083.7,10155
9489.1,184.98
2046.1,12817
12002,3075.6
1140.8,13183
4480.1,5408.1
12469,13423
528.43,14622
11031,13230
12872,8234.9
2889.5,708.21
7308.8,6717.2
12206,10295
6355.8,2685.1
5611.7,8482.1
12360,1800.5
1554.7,8915.9
8124.4,14314
3377.3,843.02
10458,3180.6
7561.5,8401.9
2910.1,659.56
8931.6,10615
11254,12892
14825,11282
3144.3,6889
2848.6,14998
164.42,13669
2793.9,5831.6
11687,5272.4
4292.2,2925.7
122.17,6488.2
6324.8,7807.9
13653,4833.5
14266,9330.6
6838.1,14336
12484,1866.7
6395.8,8280.2
9258.2,9004
7024.5,951.6
2635.1,5439.9
14981,12788
6825,12008
1736.7,10135
6310.1,6398.7
7001.5,14390
67.301,9789.9
8716.3,673.68
3106.2,9562.5
14725,1750.4
5455.8,8522.9
2247.7,8778.7
3832.1,8763.2
3847.9,7848.7
10369,14502
12501,13335
14217,5616.2
2961,5849.9
3895.8,9146.6
2482,9897.7
1586.1,7820.1
13965,14439
2390.6,11155
8636.9,5880.4
6647.9,481.43
14838,11782
14082,10393
4505.9,6228.8
7648.4,3334.8
10276,8294.8
9314.5,4462.5
14977,6509
12870,14419
14370,5496.3
3373.1,9358.2
9515.4,421.4
14630,127.36
724.68,7665.5
11676,8218.2
10724,8141.8
9755.1,6406.3
798.79,8206.7
4071.2,2247.1
360.73,14493
13688,13332
7656.7,13119
4553.6,2908.1
4517.4,1667.8
12877,1673.8
2916.5,10827
11968,8234.5
6585.8,5995.6
14736,12127
13786,10291
4187.7,1365.9
6216.3,11807
6049.6,5411.2
12369,5128
918.97,13991
4795,12238
13414,11186
8626,11776
14917,5588.1
9641.3,3932
11550,12192
577.91,5649.7
12632,3637.4
13238,8269
10979,3151.6
2748.1,12249
2404.4,12806
8692.2,5296.6
1377.7,12427
4524.6,7137.3
14194,14616
5289.3,1133.3
13570,13359
10862,11561
1573.1,8728.5
1372.8,14759
7565.1,2300.6
4661.9,13566
1148,11757
682.06,14684
8294.4,8008.6
8005.6,820.44
153.2,5081.6
10189,13129
14111,5010.5
2208.9,6395.4
10783,11573
10943,12306
10195,13842
10946,12472
3676.9,7376.7
12147,6651.5
7440.3,3725.3
6050.3,1198.9
1260,12487
4360,7326.2
1927.1,5189.4
186.92,14074
4096.3,12060
8786.1,8311.2
13538,13318
1037.6,9621.5
7197.2,14473
9848,9094.4
13710,5148.9
1479.5,13561
2661.2,2906.9
3926.9,11360
2586.4,889.12
11259,6067.5
14429,5454.2
3260.7,5644.4
13619,557.83
2207.8,6474.1
14923,6853.6
14657,14034
6204.5,3775.1
6184.6,2844.2
12114,4467.8
9259.4,14523
1239.8,3202.2
10972,5601.2
10211,12057
10630,7864.1
4779.3,11382
10189,5883.4
14795,4813
955.27,9315.2
9783.2,6765.7
1591.9,7256.7
3178.8,4474.3
1728.2,2365.2
9384.3,1864.1
4711.2,1585.7
7776.5,1231.8
149.1,4201.8
14476,5690.3
2852.9,1485.1
2964.4,9213.1
11372,2652.3
61.617,6502
6602.4,439.62
8927.6,14822
9263.7,8121.6
8737.1,10855
3604.6,1506.2
14322,10458
2652.6,14107
10190,12097
10621,11002
3048.6,964.26
11668,383.78
2395.5,14916
965.21,9135.3
7522.2,1044.7
6887.3,11684
4712.2,7613.7
7202.5,1350.2
11563,2723.8
5909.3,6122.6
14576,10015
5094.7,13055
8000.7,8804.1
3460.3,5518.1
1335.2,13542
6961.1,271.18
4510.7,11571
7686.2,8638.3
3612.4,14415
11210,12125
2863,4609.3
7174.1,1024.6
4278.6,916.75
193.02,9300.4
1903.3,6530.5
4014.2,3505.9
13988,4670
10002,1752.3
1436.8,13502
11512,14575
7570.4,792.4
2147.3,1157.6
11548,12673
6218.8,8018.7
10430,13798
3476.1,831.46
12083,8713.5
14338,9458.1
3186.9,10396
808.41,6406.8
11466,11822
9108.6,13140
13087,5171
6263.6,8052.9
1874.7,7777.8
7450.7,3491
9049.6,1669.5
11213,11519
4729.3,1555.5
11825,4187.7
14760,13537
1920.8,7780.1
5368,6184.7
9791.3,2514.4
5826.1,5828.1
10704,7177.1
10912,235.45
10908,14235
4841.9,6439.9
13889,11256
14501,3412.3
5072.8,14105
8950.3,12310
14135,870.68
565.87,50.078
11129,8442
4209.2,3507.4
3885.2,9197.2
10898,14845
3921,11480
1496.9,13520
7878.7,8970.3
10810,14696
5018.1,9074.2
14673,14342
9546.3,5092.2
6873.3,1220.3
12637,2367.7
12524,6883.1
7020.7,14864
11974,7411.2
9206,5141.2
4428.2,4812.8
7442.2,9332.1
5418.2,5261.7
13793,14981
11029,2528.5
9801.6,4979.6
13531,8714.4
239.6,13436
12963,11304
12836,3926.1
1942.3,3372.8
13024,5135.5
10009,2989
842.08,10276
7465.5,14363
6469.5,3969.3
11063,1722.8
2750.4,5434.2
906.48,13975
9869.5,5533.4
336.89,9301.4
12228,1010.6
2964.9,9213.6
14275,11054
7358.1,1428.3
12837,1407.9
3915.6,14297
12635,12793
983.61,12214
1386.2,11822
8477.1,2524.6
8489.5,13310
2689.9,10210
1935.1,10766
4515.3,8453.4
10270,2509.7
