x,y
8884.6,8985.2
6184.1,13230
2196.2,13457
9916.7,8208.2
6169.6,6121.1
5270.8,4809.1
7792.8,4301.4
5695,7081.3
9749,7147.7
14981,6149.4
14147,10498
14885,2148.4
9802,13884
7332,8086.9
6564.6,13075
7876.9,5953.3
11281,7925.4
12117,11634
9997.1,1809.2
3384.1,4669.3
6551.9,5036
8214.5,4740.7
9142.7,1009.2
1930.8,5299.4
148.87,1299.8
11493,796.46
69.18,1644
4237.3,9812.8
7835.3,12662
11766,5163.4
4006.4,6340.7
164.15,1145.7
8222,3641.9
11385,6986.7
10944,4472.7
9329.3,6964
11881,4575.5
664.36,7214.1
10088,561.9
9092.2,10133
7998.4,3586.4
8568.7,12552
10006,1782.6
11042,2564.5
2932.2,7286.5
3374.7,4430.7
7314.2,7628.6
13542,4206.6
4711.3,9333.5
13192,741.32
1586.5,5739.1
1246.2,1036.9
11823,2138.9
4578.7,8499.8
7385.6,7221
2726.8,9615.3
7294.5,10935
13285,9635.9
14018,9708.3
6078.1,6236.9
7925.6,10533
3683.6,5499.7
6962.1,4786.8
12514,766.39
2341.5,1315.3
6622.3,12699
195.07,867.81
9113.5,9583.3
13688,14772
13117,7602.6
11326,2658.2
9990.9,1967.7
14490,14416
14899,9215.2
458.16,4804.3
8075.1,1481.6
10785,6015
3776.2,1098.6
13782,3141
12983,12857
4404,2618
1081.7,895.36
9172.4,13295
1350.5,13182
4037.8,13200
3578.3,14437
13661,9096.9
1104.8,11931
4188.7,6197.9
9834,11927
9711.6,4007.3
10287,4068.1
3041.3,7557.7
1435.5,3495.1
882.74,2317.4
14969,11445
2538.1,6798.8
11007,5895.7
12859,2552.1
4121,7327.4
6370.4,2906.5
12237,1170.7
7834.7,13590
833.78,13199
4357.5,1876.5
4716.6,9092.5
12443,9697.7
13429,188.71
2791.2,1772.8
14903,2142.5
485.88,14747
12929,4029.1
13087,5887.2
647.48,5574.4
3050.9,8383
4330.5,12994
15000,9501.7
5798.2,5971.1
14752,6429.4
2794.5,12363
14183,7033.5
5156.4,4582.6
2260.8,5102.8
10444,5571.1
13936,13226
5952.2,3515.7
2437.9,11506
11772,7530.5
7527.9,3062.7
296.06,1037.5
14196,8645.4
14266,3697.2
190.22,5975.4
9799.7,13201
13239,8712.1
3633,5653.4
13543,10609
7948.5,14481
4002.7,8578.1
2649.4,5026.8
13352,1868.8
5001,13411
11606,10404
3563.3,137.43
5322.3,10421
8890.4,8636.5
6021.5,9636
12537,1897.7
7903.4,11867
13566,685.78
5895.5,10162
11005,8252.4
2869.6,8527.3
12071,8937.6
1546.4,9364.4
2589.3,5653.9
3646.3,14539
4715.8,1980.6
14467,6003.5
14458,10841
6789,10524
3824.7,1378
4293.9,13950
13021,1903.6
14316,11690
8702.8,3176.4
13993,14473
1880.8,4972.6
14979,10376
14312,3812.4
12232,1084.7
12592,12710
13528,8778.2
5184.2,6994.1
5649,11558
13650,724.57
13029,9673.1
2564,5948.6
5477.3,14692
228.9,3744.7
9143.4,10039
9326.8,6910.7
13367,8436.3
6490.4,5071.8
11263,14912
12915,13944
13605,3230.3
3956.9,7412.3
4341.8,4009.4
13483,3350
8111.4,10298
3082.8,2676.1
8868.1,5539.5
6719.8,13076
5742,12191
354.47,9394.4
13777,14804
4473.3,6292.9
13055,5836.8
5357.3,3708.8
11217,6774.7
9309.2,11428
10571,9589.5
8142.5,5980.5
8064.7,8091.2
2912.3,2987.2
9343.7,3267.1
7898.3,33.216
10422,3333.5
6987.8,8526
6193.8,13750
12461,1353.9
12628,5040.7
6525,12462
5092,11792
9448.4,2190.9
11516,9980.8
11484,10917
3710,7490.4
6677.3,13322
2977.6,8612.1
6137,8309.4
11633,7312.2
8023.9,189.96
4725,1071.4
8007,2132.2
4745.1,3499.6
14907,903.84
9595.6,461.69
3387.5,13560
10023,4324.4
12755,10854
11868,4141.5
14108,5555
9194.9,9932.2
4209.7,14452
11473,8033.9
283.13,3018.8
6939,14069
4739.9,1214.6
6596.6,7004.7
14995,12755
4600.1,13965
8806,1817.5
14046,14346
2564.1,14287
4671.3,3696.2
9141.7,7760.2
13461,7876.1
10273,9135.3
108.32,8352.2
9412.5,4653.6
9458,6471.6
7883.6,818.76
13812,3142.7
5941.6,10485
14958,4132.3
11064,9066.3
13175,3130.9
5092.8,14362
11354,4572.4
14063,5638
7586.2,11490
