x,y
1717.6,5003.5
2146.4,2233.6
2294.2,14562
10429,2198.1
4240,3383.3
12202,5629.8
8648.8,11742
10100,13433
13912,6904.2
7879.5,8889.2
9564.4,4895.7
7909,7533
7549.5,14042
13357,1368.9
7633.7,6341.4
10540,7328.6
2927.7,12271
12675,877.84
13347,2271.6
2840.8,13654
7862.9,11907
1051.1,2375
584.62,10620
14177,9404.7
12007,3449.9
2533.6,2839.5
12170,7030.8
13143,9267.6
9738.6,5558.5
11521,10916
8909.7,14318
13014,165.56
1550.8,173.07
5922.3,3490.3
200.59,14411
4572.5,1707.2
1663.3,11379
4956.2,13505
7161.5,2344.6
9919.1,12045
10140,1232.2
7023.5,2150.3
6269.1,6545.4
8114.3,4819
9625.9,8981.8
10642,11012
12505,2868.2
14454,9088.8
12152,8078
3566.4,13591
14624,13167
7038.5,13878
11568,7271.9
8256.5,7014.3
11327,219.84
14642,5237.9
2634.4,10228
3260.3,11480
3482.9,12791
1434.9,8090.1
2395.5,14983
10252,13277
3785.6,251.65
11025,10559
1638.6,6020.8
10425,872.35
14571,7747.6
14419,10108
12935,3788.5
7747.6,12818
11019,2602.8
4670.4,630.34
2852,14835
4382.2,5645.3
2599.3,2694.3
9621.6,14535
7369,4210.3
5690.9,6986.6
5096.2,3726.1
9369.5,5642.2
3786.9,2738.5
9114.5,14027
9065.1,6247.2
9554,11401
3682.8,1834.5
8777.6,12799
6085.9,4277.8
13880,12165
4824.4,2955.6
9220.5,5666.5
1370.9,2138.2
14194,11663
12497,10343
355.18,7844.3
7459.1,4007.5
10556,13237
1950.8,12135
7110.1,6142.3
3452.4,12110
13378,13838
1338.2,1459.8
12565,3596
14972,11805
13166,3915.2
3577.8,2513.4
1779.1,1419.4
3883.9,1094.1
10624,4404.6
5744.7,7095.6
8968.8,8323.8
10784,4350.7
14325,8607.5
481.98,13148
1375.1,479.09
12247,11557
218.98,7612
2567.7,361.82
11363,5587.7
9116,12839
6870.5,5357.3
7281.4,2335.4
4295.6,4694.2
4026.1,3129.3
7196.9,2593.1
5867.2,12686
12927,694.29
5595,12940
14876,14749
13746,6771.2
1703.3,1381.9
668.3,252.91
99.374,3250.2
1775.7,13821
10348,11098
424.42,4176.5
7585.6,9718.3
4962.9,13698
7386.6,7535.6
9285.4,8010.3
1679.8,12979
6826.5,5496.6
11726,337.64
14893,14744
5259.9,11328
9042.9,5760.5
3504.8,3358.9
12827,3539
5164.7,11114
3655.9,4522.9
409.32,10633
10152,895.26
12010,4451.8
4487.2,6845.7
12516,4244.4
9806.8,13167
4987.5,13431
6055.6,13416
1982,3069.5
7720.5,6594.6
12453,10417
8527.1,11611
3394.6,12263
803.95,11323
10179,11006
1146.5,10801
5428.4,8309.9
10139,165.5
13236,7255.8
7839.8,6475.1
7685.9,14630
3669.5,6020.7
10381,55.712
10153,4493.1
1450.6,6936.3
7953.2,443.13
6225.3,5158.9
2577.2,2443
2600.1,13040
14507,368.6
1638.3,7617.7
5669.2,4779
7998.7,3611.1
14664,8676
2003.7,7003.3
8754.2,1479.8
6250.1,420.72
4362.9,4699.9
8422.6,14315
11738,9072.7
8465.8,6238.9
10060,1283
5911.1,6186.3
1677.7,11411
196.39,10292
5943.4,9391.4
13186,11638
13514,8942.5
12762,2731.3
13291,5806.9
5008.6,8854.8
528.04,14274
4698.6,9977.5
6440.9,7985.8
6761,1106.6
9739.7,14395
8041.3,576.26
7807.9,12257
8553.9,13000
1048.2,6050.8
6317,7315.8
14212,5945.1
13283,5782.3
357.66,9829
897.78,12669
6720.4,11151
4585.2,12795
416.87,2070.6
4890.5,12610
7236.2,3502.8
8701.9,13367
8626.7,710.6
11392,497.32
8213.3,6071.7
2222.9,5170.5
6601.5,13699
11653,3615.6
4564.9,13130
9636.6,3089.7
9718.7,13989
10303,4613.4
3054.4,3832.7
10288,9103.4
4975.2,10136
7459,4303.1
4712.9,1059.9
6811.8,2797
2364.3,13656
10832,14193
8064.7,4731
10788,13608
13963,13691
9685.5,12845
11359,173.97
14005,5066.2
7414.8,1021.7
14795,3118.1
11222,2555.7
6327.1,14689
3519.3,12507
10347,7478.9
4951.9,814.47
1688.8,12503
8431.2,10370
7459.1,3996
12775,14190
12714,2965.9
7748.2,8053.1
6481.3,2242.3
7508,13903
9951.6,453.23
7027.7,14814
8336.7,6067.6
1106.2,13626
8598.7,13074
8941.5,14194
13239,12569
13370,13046
12878,1810.5
13953,4220.2
6850.6,13044
14724,8570.4
10027,11390
675.05,7665.8
2047.6,2174
6713.6,7630.8
11700,10221
6910.4,7625.6
927.23,11705
1985.2,2372.1
13415,4577.2
7990.2,383.36
2840.7,2461.4
5508,13132
10096,6382.6
8767.2,535.93
5835.5,661.94
1139.6,4166.1
4756.9,14105
4656.8,12228
1135.1,5502.9
7260.1,10177
224.55,143.7
2500,125.15
12817,10186
6876.8,9420.6
14893,4015.5
2222.1,10699
10830,14166
8576.6,14626
5751.8,6903.3
14022,5867.5
3608.3,7394.2
7068.9,1759.9
608.47,656.8
10689,4605
858.51,10077
14127,13783
2634.9,2896.5
353.98,331.4
1119,14329
2149.2,11999
11087,13339
3723.4,7020.7
4039.9,12026
2749.1,7955.1
4675.3,4467.1
5397.4,2841.5
8340.9,6792.9
13380,4500.5
12329,7390.4
46.325,8489.5
4453.2,2717.9
5407.2,12657
14216,12654
14247,14232
12180,2590.5
10471,7951.3
13315,1309.5
6167.3,789.98
9529.3,5205.5
6052,12594
2648.3,11535
10395,14817
3721.8,6086.7
13661,5194.4
10640,3836.1
3058.5,3199.8
3718.3,13825
9547.6,4759.2
14379,13938
2873.6,6964.1
14736,14002
3362.5,755.52
6286.4,140.52
11354,241.37
1049.2,7745
431.54,14043
4798,2056.4
10146,45.892
3763.5,13868
2419.6,7750.4
5099.3,3702.6
14812,11797
10765,3095
9760.3,13270
3151.5,6904
8441.1,10678
13683,8418.1
1414.5,8133.8
10889,11367
1339.8,2096.7
5110.3,11650
4476.6,12815
2484.3,50.766
8090.1,13834
10088,3405.1
512.15,8519.5
1253.8,4109.1
4799.4,1868.7
6898,9425.9
11599,12151
7823.2,10457
10660,9312.6
2890.8,7618.3
14190,5939.8
13076,5805.8
9253.4,2046
5921.4,14757
4109.6,12117
2113.3,93.557
4911.4,1664.9
2002.6,4807.5
3088,1908.8
11757,336.95
6843.6,14619
11478,3258.5
13112,12047
7641.2,3077.2
3097.8,9726.9
6638.2,5056.1
2855,14851
3980.1,12003
11409,3272.4
1135.6,807.05
11890,3728.5
4538.9,11223
5153.6,10857
13971,8247.8
13883,6917
10642,341.85
8577.8,8242.5
9711.4,5763.7
14237,2069.1
10808,11167
14696,7577.3
9249.8,5303.9
7531.5,797.51
85.578,4785.3
6095.8,11483
8022.8,9754.5
2625.4,2896.9
3411.1,3450.6
7067.1,9211.7
10130,13898
1873.5,537.85
5485.6,3515
11938,3682.2
5919.5,9581.8
10162,1537.4
8570.9,219.49
2536.8,6765.1
5751.6,2561.4
8286.8,8807.4
4079.3,13224
10958,6255.5
6952.1,10822
14835,8232.4
9136,4824.7
4904.5,8365
8543.5,12876
11008,11385
8151.5,2708.5
12616,13166
12460,5756.6
7103.4,13641
1668.1,13147
3452.3,1304
1435.5,8083.6
2049.8,10428
13834,5099
5420.1,3518.4
10617,14967
2160.1,14022
4087.2,7896.1
2553.7,8181.5
6024.2,1634.9
1449,492.73
14032,3942.1
1928,10245
4225.3,1124.1
9659.2,6411.2
2813.8,14646
2204.6,14125
5680.4,8064.6
478.3,14658
9626.3,8392.5
430.47,14820
3818.1,2769.7
3972.4,207.02
639.7,1872.3
8723.3,11712
3576.2,118.19
9252.1,12422
12625,877.06
10882,5448
13282,6256.8
12207,3657.7
10236,5737.9
6351.3,3240.7
8233.2,6039.7
4844.1,3265.4
1927.7,7188
1809.6,9243.7
13151,10714
5691.6,11607
25.018,3180.7
1907.4,558.75
8366.2,1620.3
2540.1,8192.7
2547.2,8185.4
1446.7,150.28
5683.2,1002.6
1334.8,1382.5
9333.2,4206.9
11018,12918
7128.6,11231
7302.8,14857
8476,7527.3
7687.9,1917.5
725.31,12887
2651.4,2277.8
10778,13768
7390.1,1035.8
874.65,13853
14323,6503.2
14860,10583
5253.3,1656
13723,3084.1
11283,2537.1
3245.9,7846.6
2150.4,13999
9221.4,4787.8
745.28,1436.7
12257,4494.4
8066,183.23
4641.1,9333.3
11361,3810.9
9167.4,14467
10586,11129
12149,14860
2902.2,9904.8
1727.4,2043.1
6694,13579
1028.6,6559.6
12070,4524.7
11822,1686.8
2247,9442
7600.5,9191.5
4199.6,3121.2
10743,10898
10340,2166.3
6551.2,2871.4
11602,5682.3
828.09,2504.4
5639.8,12943
1970.2,1031.6
7728.5,2797.3
8853.3,10901
9404,4574
1309.7,1428
9951.7,6502.2
7118,10535
14130,13214
14544,10803
5543.2,14344
6311.8,1651.2
7286.3,4868.2
10150,6933.8
5951.4,3462.2
7918.1,1693.1
13453,12302
4294,8528.4
14888,3923.1
7698.8,3756.1
8479.7,189.37
10276,11199
859.59,2382.5
6674.3,1706.2
9071.7,13765
10592,10203
12667,855.53
14333,2187.7
4578.6,3636.1
12339,3567.3
7532.2,11794
12954,3603.4
2793.8,3924.1
1459.7,5529.9
13454,11097
8826.7,9260.8
4544.9,11150
1262.1,6755.9
14587,12155
655.52,12173
3764.2,12370
7234.5,7859.5
2739.6,13513
13228,11004
906.31,8986.5
3354.6,688.91
8742.2,6539.1
7469.1,13901
9980.4,8827.9
783.99,11570
9948.7,2873.5
10600,11028
2622.8,2964.2
4241.7,188.75
4576,10380
14202,11852
2027.9,13904
12157,11655
45.861,2374.4
14412,13899
1878.3,3579.2
8521.3,7566.2
1242.6,5766.8
6764.9,12450
3925.3,12800
11217,10914
9695.1,10942
7744.3,4312.4
14275,2974.4
5188.7,5229.7
8862.8,4167.5
652.47,14917
2249.2,4300.4
10762,7401.4
11403,508.29
13464,473.23
6071.1,7907.1
7305.1,13767
8679.2,5396.8
13393,5419.7
1450.3,483.62
5157.7,11078
3565.5,3447.7
8374.3,14656
2972.2,12035
11635,14578
14821,1769.9
14139,4399.2
11600,3634.7
4568.5,458.42
9657.3,13148
3686.4,5896.8
6631.9,9042.6
2035.7,4675.3
8209.2,20.318
7612.1,10541
3481.9,12497
3195.9,7928.5
3591.4,11962
7505.6,921.96
10751,8194.2
7612.1,11537
9549.3,7966.5
12760,9454.1
13810,11749
6299.3,1185.4
8683.8,5653.1
1755.1,8943.8
1503.7,112.34
2485.4,12609
3604.4,139.68
3378.4,3195.8
2695.1,11320
12982,12171
5930.4,197.98
965.01,5147.9
4085.5,10001
1445.1,3205.3
11973,3339.5
6383.5,1751.8
10260,11162
2850.6,14849
11751,718.34
10108,3921.6
14671,5847.1
6842.3,6931.4
12475,1759
1429.2,13205
8899.1,11688
4049.3,1061.2
9666.2,1989.2
10053,13214
1983.9,7405.4
12666,1691
918.54,8636.5
2109.3,3220.7
9317.5,9247.2
6873.3,7622.1
12491,14550
2343,5320.3
1277.4,1436
13376,3208.3
27.075,2416.6
